MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[60, 60]",0.01,0.2,1,epoch_1,0.6841,0.0866,0.8538,0.1957,0.8269,0.215,1,0.6842,0.8193,0.6934,1.6191
"[60, 60, 40]",0.01,0.2,1,epoch_1,0.6522,0.0476,0.8604,0.2,0.8399,0.2132,1,0.652,0.8266,0.6701,1.9687
"[120, 60, 20]",0.01,0.2,1,epoch_1,0.6638,0.0888,0.8498,0.199,0.8242,0.2174,1,0.6637,0.7979,0.6329,1.8478
"[120, 60, 40]",0.01,0.2,1,epoch_1,0.6855,0.1364,0.8569,0.2041,0.8318,0.2177,0,0.6374,0.7892,0.6241,5.8493
"[30, 20]",0.01,0.2,3,epoch_1,0.6479,0.0719,0.8534,0.207,0.8277,0.2169,1,0.6477,0.8094,0.652,6.0286
"[60, 60]",0.01,0.2,3,epoch_1,0.6943,0.116,0.8491,0.2089,0.8226,0.2212,1,0.6944,0.8151,0.6635,1.5619
"[60, 60, 40]",0.01,0.2,3,epoch_1,0.6566,0.0557,0.852,0.2107,0.8299,0.2181,1,0.6564,0.821,0.6743,1.9273
"[120, 60, 20]",0.01,0.2,3,epoch_1,0.6435,0.0745,0.8461,0.2092,0.8194,0.2233,1,0.6433,0.8089,0.65,1.9596
"[120, 60, 40]",0.01,0.2,3,epoch_0,0.6536,0.0469,0.8442,0.2025,0.8273,0.2154,0,0.6535,0.8091,0.6585,5.5153
"[30, 20]",0.01,0.4,1,epoch_3,0.706,0.1412,0.8641,0.2104,0.8387,0.2163,0,0.6681,0.8175,0.6644,30.7886
"[60, 60]",0.01,0.4,1,epoch_1,0.6682,0.0817,0.8566,0.2119,0.8289,0.2265,1,0.6681,0.8133,0.6733,1.7915
"[60, 60, 40]",0.01,0.4,1,epoch_2,0.7559,0.1818,0.8639,0.207,0.8422,0.2146,1,0.652,0.8193,0.6845,2.2289
"[120, 60, 20]",0.01,0.4,1,epoch_1,0.6522,0.0801,0.8522,0.2112,0.8307,0.2268,1,0.652,0.7838,0.591,2.1879
"[120, 60, 40]",0.01,0.4,1,epoch_1,0.6754,0.129,0.8574,0.2115,0.8357,0.219,1,0.6754,0.7943,0.5907,1.6081
"[30, 20]",0.01,0.4,3,epoch_2,0.6421,0.0842,0.8583,0.2162,0.8325,0.2267,1,0.655,0.8118,0.6445,6.8154
"[60, 60]",0.01,0.4,3,epoch_1,0.6653,0.0947,0.8585,0.2153,0.8372,0.2279,1,0.6652,0.8174,0.6675,1.8998
"[60, 60, 40]",0.01,0.4,3,epoch_1,0.6566,0.0557,0.8554,0.2177,0.8372,0.2256,1,0.6564,0.8135,0.6715,2.3838
"[120, 60, 20]",0.01,0.4,3,epoch_1,0.6492,0.0337,0.849,0.2222,0.8261,0.2363,1,0.6491,0.8025,0.6373,2.3796
"[120, 60, 40]",0.01,0.4,3,epoch_1,0.6392,0.087,0.8561,0.2161,0.8348,0.2291,1,0.6389,0.809,0.6535,1.7259
"[30, 20]",0.01,0.6,1,epoch_2,0.658,0.0677,0.8574,0.2114,0.8355,0.2143,0,0.6827,0.806,0.6744,40.8503
"[60, 60]",0.01,0.6,1,epoch_2,0.7471,0.1771,0.8564,0.2081,0.8365,0.2091,1,0.6535,0.8102,0.6743,2.6489
"[60, 60, 40]",0.01,0.6,1,epoch_2,0.6435,0.0987,0.864,0.2123,0.8489,0.2166,1,0.6491,0.8261,0.6941,4.6644
"[120, 60, 20]",0.01,0.6,1,epoch_2,0.6754,0.141,0.8532,0.2128,0.8337,0.2191,1,0.655,0.788,0.6473,6.0189
"[120, 60, 40]",0.01,0.6,1,epoch_1,0.645,0.0689,0.852,0.2098,0.8356,0.213,1,0.6447,0.8111,0.6608,3.404
"[30, 20]",0.01,0.6,3,epoch_2,0.6479,0.0641,0.8623,0.2181,0.8468,0.2219,1,0.6564,0.8148,0.6573,10.6689
"[60, 60]",0.01,0.6,3,epoch_1,0.6406,0.0842,0.8609,0.221,0.8459,0.2248,1,0.6404,0.8179,0.6645,2.9055
"[60, 60, 40]",0.01,0.6,3,epoch_1,0.6374,0.003,0.8616,0.2224,0.8524,0.2246,1,0.6374,0.8261,0.6843,5.4297
"[120, 60, 20]",0.01,0.6,3,epoch_3,0.6944,0.1766,0.8559,0.2127,0.831,0.2234,1,0.6374,0.811,0.6576,5.9312
"[120, 60, 40]",0.01,0.6,3,epoch_1,0.6492,0.0337,0.8551,0.2192,0.8391,0.2271,1,0.6491,0.8127,0.6583,3.4732
"[30, 20]",0.1,0,1,epoch_0,0.6374,0.003,0.8177,0.185,0.7481,0.2142,0,0.6374,0.8037,0.7081,1.2858
"[60, 60]",0.1,0,1,epoch_1,0.6907,0.2405,0.8054,0.2041,0.7744,0.2173,1,0.6886,0.7739,0.6386,1.7915
"[60, 60, 40]",0.1,0,1,epoch_0,0.564,0.1933,0.8146,0.1857,0.7757,0.202,12,0.6886,0.7608,0.6953,0.5756
"[120, 60, 20]",0.1,0,1,epoch_4,0.7004,0.2096,0.8095,0.1746,0.7441,0.23,0,0.7091,0.7957,0.6816,0.9736
"[120, 60, 40]",0.1,0,1,epoch_0,0.7152,0.1972,0.8085,0.1894,0.772,0.2025,0,0.7135,0.7782,0.6547,0.8875
"[30, 20]",0.1,0,3,epoch_0,0.6374,0.003,0.8188,0.2067,0.7603,0.2287,0,0.6374,0.8063,0.6663,1.3946
"[60, 60]",0.1,0,3,epoch_1,0.7312,0.1942,0.8083,0.1923,0.7644,0.22,1,0.7295,0.7893,0.6727,1.9681
"[60, 60, 40]",0.1,0,3,epoch_0,0.5821,0.2097,0.785,0.2172,0.739,0.2548,7,0.7339,0.7812,0.6577,1.1409
"[120, 60, 20]",0.1,0,3,epoch_3,0.6914,0.2074,0.7951,0.1993,0.7557,0.2299,4,0.7091,0.7956,0.692,0.8913
"[120, 60, 40]",0.1,0,3,epoch_4,0.6896,0.1796,0.7921,0.2132,0.7479,0.2473,0,0.7222,0.7739,0.6754,1.2939
"[30, 20]",0.1,0.2,1,epoch_0,0.6389,0.0053,0.8237,0.1991,0.7649,0.2396,0,0.6389,0.7587,0.6205,1.1435
"[60, 60]",0.1,0.2,1,epoch_3,0.6801,0.1351,0.8078,0.2015,0.7516,0.2456,3,0.6798,0.7682,0.594,0.7428
"[60, 60, 40]",0.1,0.2,1,epoch_2,0.7073,0.187,0.7891,0.1678,0.7366,0.2086,602,0.674,0.7566,0.6642,0.7198
"[120, 60, 20]",0.1,0.2,1,epoch_49,0.719,0.1655,0.7615,0.2039,0.6824,0.2528,1,0.6345,0.7968,0.7088,1.1259
"[120, 60, 40]",0.1,0.2,1,epoch_31,0.697,0.1648,0.7471,0.1998,0.6432,0.2559,12,0.6798,0.7553,0.6288,0.7983
"[30, 20]",0.1,0.2,3,epoch_0,0.6374,0.003,0.8302,0.2105,0.799,0.2148,1,0.6725,0.7683,0.6362,1.0561
"[60, 60]",0.1,0.2,3,epoch_1,0.7454,0.1747,0.8006,0.1919,0.7522,0.2217,1,0.7442,0.7956,0.6679,2.3922
"[60, 60, 40]",0.1,0.2,3,epoch_2,0.7258,0.1718,0.8136,0.2054,0.7741,0.2414,572,0.7178,0.7418,0.6292,0.8448
"[120, 60, 20]",0.1,0.2,3,epoch_3,0.6722,0.1922,0.7996,0.2068,0.7546,0.2445,1,0.6564,0.8031,0.722,1.6393
"[120, 60, 40]",0.1,0.2,3,epoch_2,0.6549,0.1903,0.7913,0.2113,0.7311,0.2601,12,0.7412,0.7883,0.6317,0.9215
"[30, 20]",0.1,0.4,1,epoch_1,0.6378,0.148,0.8385,0.2009,0.7796,0.1999,186,0.7266,0.7808,0.6207,0.555
"[60, 60]",0.1,0.4,1,epoch_3,0.6744,0.1649,0.8124,0.2171,0.7599,0.2507,1,0.6798,0.7274,0.6156,1.9392
"[60, 60, 40]",0.1,0.4,1,epoch_5,0.6755,0.1159,0.798,0.1789,0.7195,0.2378,17,0.7237,0.7688,0.5948,0.7143
