MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[30, 20]",0.001,0.6,1,epoch_46,0.8471,0.1312,0.8229,0.1655,0.598,0.2619,11,0.8933,0.7901,0.3878,1.6611
"[60, 60]",0.001,0.6,1,epoch_10,0.9023,0.0141,0.8412,0.1351,0.6095,0.2482,10,0.9023,0.835,0.4258,1.1824
"[60, 60, 40]",0.001,0.6,1,epoch_10,0.8933,0.0019,0.8543,0.1195,0.6209,0.2399,8,0.8933,0.8377,0.4549,1.4109
"[120, 60, 20]",0.001,0.6,1,epoch_23,0.8632,0.0973,0.8376,0.1491,0.6112,0.2602,8,0.8933,0.8197,0.4234,1.3313
"[120, 60, 40]",0.001,0.6,1,epoch_7,0.8933,0.0019,0.8598,0.0972,0.6258,0.2305,7,0.8933,0.8272,0.4375,1.3314
"[30, 20]",0.001,0.6,3,epoch_51,0.8443,0.1342,0.8172,0.179,0.6031,0.2671,16,0.8943,0.8152,0.3841,1.1138
"[60, 60]",0.001,0.6,3,epoch_24,0.8608,0.1021,0.8288,0.1712,0.6148,0.2672,8,0.8933,0.8229,0.4196,1.3817
"[60, 60, 40]",0.001,0.6,3,epoch_7,0.8933,0.0019,0.8578,0.1072,0.6271,0.242,7,0.8933,0.8296,0.4472,1.6383
"[120, 60, 20]",0.001,0.6,3,epoch_17,0.8862,0.0353,0.8499,0.1258,0.6162,0.2454,8,0.8933,0.825,0.437,1.3541
"[120, 60, 40]",0.001,0.6,3,epoch_7,0.8933,0.0019,0.8602,0.0947,0.6304,0.229,8,0.8933,0.8383,0.4607,1.3086
"[30, 20]",0.01,0,1,epoch_6,0.8273,0.1728,0.8155,0.1736,0.594,0.2601,3,0.8933,0.818,0.385,0.6896
"[60, 60]",0.01,0,1,epoch_2,0.898,0.0137,0.8398,0.1357,0.6076,0.2379,1,0.8933,0.8298,0.4054,0.8631
"[60, 60, 40]",0.01,0,1,epoch_1,0.8933,0.0019,0.8463,0.1125,0.6008,0.2594,0,0.8933,0.792,0.3884,2.3619
"[120, 60, 20]",0.01,0,1,epoch_1,0.8933,0.0019,0.8433,0.1145,0.6041,0.2465,1,0.8933,0.8286,0.3809,0.8371
"[120, 60, 40]",0.01,0,1,epoch_3,0.8999,0.0165,0.8172,0.1706,0.597,0.2593,0,0.8933,0.8016,0.3987,1.7599
"[30, 20]",0.01,0,3,epoch_6,0.8335,0.1424,0.8107,0.1776,0.5828,0.2542,2,0.8933,0.8068,0.3572,0.8424
"[60, 60]",0.01,0,3,epoch_4,0.8405,0.137,0.8136,0.1823,0.5984,0.259,1,0.8933,0.8264,0.4055,0.8853
"[60, 60, 40]",0.01,0,3,epoch_1,0.8933,0.0019,0.8504,0.1088,0.6119,0.239,0,0.8933,0.7867,0.3877,2.3762
"[120, 60, 20]",0.01,0,3,epoch_1,0.8933,0.0019,0.8377,0.1166,0.5984,0.247,1,0.8933,0.8193,0.3555,0.8359
"[120, 60, 40]",0.01,0,3,epoch_1,0.8933,0.0019,0.8457,0.1159,0.6039,0.2367,0,0.8933,0.7952,0.3895,1.7541
"[30, 20]",0.01,0.2,1,epoch_3,0.8929,0.0017,0.8386,0.1239,0.5976,0.2355,2,0.8933,0.8124,0.3895,0.8442
"[60, 60]",0.01,0.2,1,epoch_2,0.8976,0.0123,0.8412,0.1434,0.6231,0.246,1,0.8929,0.835,0.3958,0.8461
"[60, 60, 40]",0.01,0.2,1,epoch_1,0.8933,0.0019,0.8456,0.1217,0.6159,0.2556,2,0.8933,0.8454,0.4344,0.9365
"[120, 60, 20]",0.01,0.2,1,epoch_2,0.8933,0.0019,0.8441,0.1371,0.6233,0.2477,1,0.8933,0.8353,0.3933,0.8495
"[120, 60, 40]",0.01,0.2,1,epoch_1,0.8933,0.0019,0.8512,0.1159,0.6139,0.2459,0,0.8933,0.8126,0.4257,1.6502
"[30, 20]",0.01,0.2,3,epoch_7,0.8316,0.1487,0.8078,0.1859,0.5916,0.264,1,0.8933,0.7684,0.359,1.1262
"[60, 60]",0.01,0.2,3,epoch_2,0.8985,0.0135,0.8397,0.1417,0.6076,0.2425,1,0.8933,0.8308,0.4028,0.874
"[60, 60, 40]",0.01,0.2,3,epoch_1,0.8933,0.0019,0.8561,0.1056,0.6273,0.2374,0,0.8933,0.7948,0.4067,2.0412
"[120, 60, 20]",0.01,0.2,3,epoch_1,0.8933,0.0019,0.8421,0.1142,0.6062,0.247,1,0.8933,0.8287,0.391,0.8491
"[120, 60, 40]",0.01,0.2,3,epoch_1,0.8933,0.0019,0.8514,0.1148,0.6175,0.2427,0,0.8933,0.7998,0.4074,1.5674
"[30, 20]",0.01,0.4,1,epoch_3,0.8943,0.0041,0.8524,0.1076,0.6107,0.215,2,0.8933,0.8118,0.3782,0.8745
"[60, 60]",0.01,0.4,1,epoch_2,0.8877,0.0241,0.8389,0.1409,0.6131,0.2484,0,0.8933,0.8111,0.4146,1.3878
"[60, 60, 40]",0.01,0.4,1,epoch_2,0.8933,0.0019,0.8378,0.1461,0.6122,0.2552,0,0.8933,0.8125,0.4476,1.7019
"[120, 60, 20]",0.01,0.4,1,epoch_2,0.8933,0.0019,0.8397,0.1289,0.6102,0.2417,2,0.8933,0.835,0.4323,0.8011
"[120, 60, 40]",0.01,0.4,1,epoch_1,0.8933,0.0019,0.8497,0.1221,0.6193,0.2429,0,0.8933,0.8281,0.4735,1.4144
"[30, 20]",0.01,0.4,3,epoch_3,0.8933,0.0019,0.8424,0.1237,0.5972,0.2414,1,0.8933,0.7816,0.3672,1.1203
"[60, 60]",0.01,0.4,3,epoch_4,0.8542,0.0927,0.821,0.1828,0.6126,0.2731,1,0.8929,0.8317,0.402,0.8339
"[60, 60, 40]",0.01,0.4,3,epoch_1,0.8933,0.0019,0.853,0.1072,0.6189,0.24,0,0.8933,0.7963,0.4168,1.7516
"[120, 60, 20]",0.01,0.4,3,epoch_1,0.8933,0.0019,0.8401,0.1166,0.6062,0.2475,1,0.8933,0.8322,0.4347,0.8652
"[120, 60, 40]",0.01,0.4,3,epoch_1,0.8933,0.0019,0.8478,0.1172,0.6213,0.2444,0,0.8933,0.8034,0.4236,1.3771
"[30, 20]",0.01,0.6,1,epoch_4,0.8962,0.0096,0.8542,0.1103,0.6089,0.2328,3,0.8933,0.8369,0.4451,0.8673
"[60, 60]",0.01,0.6,1,epoch_0,0.8933,0.0019,0.8371,0.1271,0.6169,0.2686,0,0.8933,0.8173,0.4602,1.3943
"[60, 60, 40]",0.01,0.6,1,epoch_1,0.8933,0.0019,0.8508,0.1178,0.6414,0.2357,2,0.8933,0.8631,0.4939,0.9043
"[120, 60, 20]",0.01,0.6,1,epoch_5,0.8943,0.0022,0.8328,0.144,0.6051,0.2694,2,0.8933,0.8408,0.4536,0.8259
"[120, 60, 40]",0.01,0.6,1,epoch_0,0.8933,0.0019,0.8527,0.0999,0.6218,0.2326,2,0.8933,0.8538,0.459,0.868
