MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 20]",0.001,0.7,0,993,0.8985,0.8577,0.593
"[60, 60, 20]",0.001,0.7,0,959,0.9012,0.8614,0.6045
"[120, 60, 20]",0.001,0.7,0,977,0.8998,0.864,0.6075
[40],0.001,0.7,0,1000,0.8958,0.85,0.5757
"[40, 40]",0.001,0.7,0,989,0.9016,0.8575,0.5917
"[60, 40]",0.001,0.7,0,962,0.8994,0.8603,0.5994
"[120, 60, 40]",0.001,0.7,0,995,0.9034,0.8656,0.6076
[20],0.001,0.8,0,1000,0.8917,0.8373,0.5573
"[30, 20]",0.001,0.8,0,1000,0.8804,0.8431,0.5701
"[60, 20]",0.001,0.8,0,998,0.8903,0.8492,0.5755
"[60, 60, 20]",0.001,0.8,0,999,0.8782,0.8518,0.5908
"[120, 60, 20]",0.001,0.8,0,995,0.8827,0.8564,0.5967
[40],0.001,0.8,0,955,0.8985,0.845,0.5727
"[40, 40]",0.001,0.8,0,998,0.8958,0.8544,0.579
"[60, 40]",0.001,0.8,0,995,0.8967,0.8534,0.5877
"[120, 60, 40]",0.001,0.8,0,998,0.8976,0.8571,0.5972
[20],0.001,0.9,0,991,0.8822,0.8233,0.5464
"[30, 20]",0.001,0.9,0,998,0.8777,0.7894,0.5119
"[60, 20]",0.001,0.9,0,999,0.8777,0.7946,0.519
"[60, 60, 20]",0.001,0.9,0,997,0.8777,0.7657,0.4987
"[120, 60, 20]",0.001,0.9,0,989,0.8777,0.7653,0.5002
[40],0.001,0.9,0,996,0.8899,0.8329,0.5575
"[40, 40]",0.001,0.9,0,996,0.8777,0.7979,0.5153
"[60, 40]",0.001,0.9,0,995,0.8777,0.8108,0.5421
"[120, 60, 40]",0.001,0.9,0,984,0.8777,0.781,0.5035
[20],0.01,0.0,0,1000,0.8953,0.8312,0.5495
"[30, 20]",0.01,0.0,0,972,0.9035,0.8637,0.5868
"[60, 20]",0.01,0.0,0,689,0.9021,0.8512,0.5705
"[60, 60, 20]",0.01,0.0,0,390,0.9025,0.856,0.5659
"[120, 60, 20]",0.01,0.0,0,273,0.9003,0.8538,0.5806
[40],0.01,0.0,0,929,0.8971,0.8409,0.5649
"[40, 40]",0.01,0.0,0,703,0.9016,0.8546,0.5658
"[60, 40]",0.01,0.0,0,544,0.8998,0.8528,0.5798
"[120, 60, 40]",0.01,0.0,0,318,0.8998,0.8653,0.5874
[20],0.01,0.1,0,993,0.894,0.8326,0.556
"[30, 20]",0.01,0.1,0,964,0.903,0.8609,0.5791
"[60, 20]",0.01,0.1,0,843,0.9007,0.8615,0.5899
"[60, 60, 20]",0.01,0.1,0,500,0.9007,0.86,0.5646
"[120, 60, 20]",0.01,0.1,0,323,0.8998,0.8607,0.5842
[40],0.01,0.1,0,924,0.8971,0.8412,0.5647
"[40, 40]",0.01,0.1,0,759,0.9021,0.86,0.5852
"[60, 40]",0.01,0.1,0,439,0.8971,0.8456,0.5763
"[120, 60, 40]",0.01,0.1,0,349,0.9016,0.8687,0.605
[20],0.01,0.2,0,1000,0.8958,0.835,0.5562
"[30, 20]",0.01,0.2,0,1000,0.9012,0.8598,0.587
"[60, 20]",0.01,0.2,0,902,0.9016,0.8645,0.5893
"[60, 60, 20]",0.01,0.2,0,754,0.8985,0.8668,0.5941
"[120, 60, 20]",0.01,0.2,0,384,0.9012,0.8611,0.5963
[40],0.01,0.2,0,998,0.898,0.8475,0.5726
"[40, 40]",0.01,0.2,0,766,0.903,0.86,0.5879
"[60, 40]",0.01,0.2,0,692,0.9034,0.8624,0.5798
"[120, 60, 40]",0.01,0.2,0,440,0.9034,0.8685,0.5971
[20],0.01,0.3,0,997,0.8958,0.8352,0.5574
"[30, 20]",0.01,0.3,0,999,0.9025,0.8616,0.5859
"[60, 20]",0.01,0.3,0,853,0.9016,0.8623,0.5872
"[60, 60, 20]",0.01,0.3,0,675,0.8994,0.8668,0.6024
"[120, 60, 20]",0.01,0.3,0,498,0.9025,0.8638,0.601
[40],0.01,0.3,0,989,0.8976,0.8476,0.5738
"[40, 40]",0.01,0.3,0,741,0.9012,0.8592,0.5799
"[60, 40]",0.01,0.3,0,646,0.9021,0.8605,0.5875
"[120, 60, 40]",0.01,0.3,0,420,0.903,0.8684,0.6062
[20],0.01,0.4,0,997,0.8967,0.8387,0.566
"[30, 20]",0.01,0.4,0,987,0.9035,0.859,0.5854
"[60, 20]",0.01,0.4,0,1000,0.9034,0.864,0.5857
"[60, 60, 20]",0.01,0.4,0,705,0.9007,0.8645,0.5959
"[120, 60, 20]",0.01,0.4,0,722,0.9012,0.8678,0.6015
[40],0.01,0.4,0,990,0.8967,0.8487,0.5721
"[40, 40]",0.01,0.4,0,978,0.9034,0.8638,0.5975
"[60, 40]",0.01,0.4,0,634,0.8989,0.8612,0.5978
"[120, 60, 40]",0.01,0.4,0,626,0.903,0.869,0.6058
[20],0.01,0.5,0,982,0.894,0.8348,0.5606
"[30, 20]",0.01,0.5,0,992,0.9007,0.8578,0.5742
"[60, 20]",0.01,0.5,0,956,0.9025,0.8617,0.5937
"[60, 60, 20]",0.01,0.5,0,745,0.9007,0.8648,0.6014
"[120, 60, 20]",0.01,0.5,0,840,0.9021,0.87,0.6102
[40],0.01,0.5,0,990,0.8985,0.8485,0.5742
"[40, 40]",0.01,0.5,0,992,0.9035,0.8617,0.5951
