MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 20]",0.1,0.2,1,epoch_2,0.9124,0.0067,0.7888,0.1724,0.4767,0.2703,0,0.9124,0.7779,0.2614,1.1663
"[120, 60, 40]",0.1,0.2,1,epoch_3,0.9124,0.0067,0.7888,0.1511,0.4422,0.2454,6,0.8717,0.7276,0.2212,0.3961
"[30, 20]",0.1,0.2,3,epoch_0,0.9124,0.0067,0.8493,0.15,0.6146,0.3004,1,0.9124,0.8045,0.3571,0.6884
"[60, 60]",0.1,0.2,3,epoch_0,0.9124,0.0067,0.8356,0.1725,0.5648,0.2783,0,0.9124,0.7919,0.3141,0.7055
"[60, 60, 40]",0.1,0.2,3,epoch_0,0.9124,0.0067,0.8092,0.1935,0.5329,0.2461,1,0.9124,0.7804,0.3219,0.9202
"[120, 60, 20]",0.1,0.2,3,epoch_2,0.9124,0.0067,0.8234,0.1538,0.5648,0.2733,2,0.9124,0.8048,0.357,0.9713
"[120, 60, 40]",0.1,0.2,3,epoch_3,0.9124,0.0067,0.8125,0.1462,0.5114,0.2377,3,0.9124,0.771,0.3138,1.1249
"[30, 20]",0.1,0.4,1,epoch_0,0.9124,0.0067,0.8066,0.171,0.5071,0.2394,1,0.9124,0.7676,0.3538,0.6258
"[60, 60]",0.1,0.4,1,epoch_0,0.9124,0.0067,0.8038,0.2324,0.5296,0.2719,4,0.9139,0.7527,0.322,0.5519
"[60, 60, 40]",0.1,0.4,1,epoch_1,0.9124,0.0067,0.8354,0.1727,0.5515,0.2963,2,0.9124,0.7631,0.3285,0.6488
"[120, 60, 20]",0.1,0.4,1,epoch_4,0.9124,0.0067,0.7871,0.1616,0.5047,0.2937,2,0.9124,0.7334,0.2692,0.4874
"[120, 60, 40]",0.1,0.4,1,epoch_0,0.9124,0.0067,0.7272,0.228,0.3919,0.2957,100,0.9124,0.6281,0.1757,0.5871
"[30, 20]",0.1,0.4,3,epoch_0,0.9124,0.0067,0.8259,0.1893,0.5873,0.3022,1,0.9124,0.7906,0.3322,0.7616
"[60, 60]",0.1,0.4,3,epoch_2,0.9124,0.0067,0.8307,0.1334,0.5764,0.2403,1,0.9124,0.7985,0.4149,1.1272
"[60, 60, 40]",0.1,0.4,3,epoch_1,0.9124,0.0067,0.8422,0.1735,0.5963,0.3022,1,0.9124,0.7906,0.3903,0.8086
"[120, 60, 20]",0.1,0.4,3,epoch_1,0.9124,0.0067,0.8354,0.1773,0.5859,0.2764,1,0.9124,0.8202,0.3715,1.0875
"[120, 60, 40]",0.1,0.4,3,epoch_3,0.9124,0.0067,0.8138,0.1601,0.5484,0.2741,2,0.9124,0.7516,0.2665,0.7381
"[30, 20]",0.1,0.6,1,epoch_0,0.9124,0.0067,0.7708,0.1333,0.4199,0.2494,1,0.9124,0.7864,0.2645,0.7515
"[60, 60]",0.1,0.6,1,epoch_0,0.9124,0.0067,0.8433,0.1502,0.5824,0.2482,0,0.9124,0.807,0.3088,0.8864
"[60, 60, 40]",0.1,0.6,1,epoch_5,0.9124,0.0067,0.7902,0.1441,0.4094,0.2148,1,0.9124,0.6852,0.2057,0.52
"[120, 60, 20]",0.1,0.6,1,epoch_1,0.9124,0.0067,0.784,0.1979,0.4084,0.2487,1,0.9124,0.7517,0.1781,0.6213
"[120, 60, 40]",0.1,0.6,1,epoch_2,0.9124,0.0067,0.8395,0.1031,0.4852,0.2284,6,0.9124,0.6909,0.2314,0.5008
"[30, 20]",0.1,0.6,3,epoch_1,0.9124,0.0067,0.8333,0.1454,0.6004,0.3128,0,0.9124,0.7497,0.3161,1.7255
"[60, 60]",0.1,0.6,3,epoch_0,0.9124,0.0067,0.7965,0.2161,0.5246,0.2904,2,0.9124,0.7841,0.284,0.8418
"[60, 60, 40]",0.1,0.6,3,epoch_2,0.9124,0.0067,0.8007,0.1751,0.5067,0.3121,2,0.9124,0.7655,0.2856,0.7994
"[120, 60, 20]",0.1,0.6,3,epoch_2,0.9124,0.0067,0.8288,0.1869,0.5024,0.2544,1,0.9124,0.7836,0.2849,0.9052
"[120, 60, 40]",0.1,0.6,3,epoch_6,0.9124,0.0067,0.7271,0.2681,0.4585,0.3031,2,0.9124,0.7481,0.3605,0.8432
"[30, 20]",1.0,0,1,epoch_0,0.9124,0.0067,0.6854,0.116,0.2508,0.1199,0,0.9124,0.571,0.1215,8.4036
"[60, 60]",1.0,0,1,epoch_0,0.9109,0.0115,0.6856,0.1356,0.27,0.1693,0,0.9108,0.689,0.2093,0.9413
"[60, 60, 40]",1.0,0,1,epoch_1,0.9124,0.0067,0.5,0.0,0.0876,0.0067,35,0.9124,0.5212,0.092,0.6066
"[120, 60, 20]",1.0,0,1,epoch_0,0.8999,0.0349,0.4721,0.0904,0.091,0.0248,0,0.8998,0.4868,0.0948,-0.2216
"[120, 60, 40]",1.0,0,1,epoch_1,0.9124,0.0067,0.5,0.0,0.0876,0.0067,25,0.9124,0.5212,0.092,0.367
"[30, 20]",1.0,0,3,epoch_0,0.9124,0.0067,0.6869,0.13,0.2495,0.1422,0,0.9124,0.56,0.137,2.8784
"[60, 60]",1.0,0,3,epoch_0,0.9124,0.0067,0.744,0.1443,0.3546,0.2082,0,0.9124,0.6964,0.2179,2.3472
"[60, 60, 40]",1.0,0,3,epoch_0,0.9124,0.0067,0.5022,0.0666,0.1166,0.0935,31,0.9124,0.5212,0.092,10000.0
"[120, 60, 20]",1.0,0,3,epoch_0,0.9124,0.0067,0.5035,0.0783,0.1334,0.0845,0,0.9124,0.5292,0.1152,0.6795
"[120, 60, 40]",1.0,0,3,epoch_0,0.9124,0.0067,0.5191,0.0886,0.1093,0.0544,0,0.9124,0.5392,0.1235,0.451
"[30, 20]",1.0,0.2,1,epoch_0,0.914,0.0224,0.6247,0.1304,0.2137,0.2003,0,0.9139,0.5996,0.1725,0.9149
"[60, 60]",1.0,0.2,1,epoch_0,0.8554,0.1499,0.6103,0.1943,0.2569,0.2514,0,0.856,0.6102,0.1269,0.0527
"[60, 60, 40]",1.0,0.2,1,epoch_0,0.881,0.0525,0.5025,0.1115,0.1268,0.0637,0,0.8811,0.5264,0.1019,0.1028
"[120, 60, 20]",1.0,0.2,1,epoch_0,0.7967,0.0998,0.4052,0.1192,0.1198,0.0657,23,0.9124,0.5212,0.092,0.3043
