MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 40]",0.01,0.1,0,132,0.674,0.6555,0.5746
"[120, 60, 40]",0.01,0.1,0,80,0.6741,0.6535,0.5762
[20],0.01,0.2,0,179,0.6534,0.6425,0.556
"[30, 20]",0.01,0.2,0,224,0.6672,0.6483,0.5652
"[60, 20]",0.01,0.2,0,222,0.6654,0.6506,0.5645
"[60, 60, 20]",0.01,0.2,0,169,0.6671,0.6492,0.5668
"[120, 60, 20]",0.01,0.2,0,105,0.6722,0.6538,0.5767
[40],0.01,0.2,0,151,0.6672,0.6522,0.5665
"[40, 40]",0.01,0.2,0,166,0.6655,0.6438,0.5675
"[60, 40]",0.01,0.2,0,99,0.6791,0.6566,0.5825
"[120, 60, 40]",0.01,0.2,0,104,0.6843,0.6659,0.5829
[20],0.01,0.3,0,141,0.6778,0.6703,0.581
"[30, 20]",0.01,0.3,0,220,0.6722,0.6495,0.5727
"[60, 20]",0.01,0.3,0,150,0.6759,0.6554,0.581
"[60, 60, 20]",0.01,0.3,0,195,0.6639,0.6477,0.5621
"[120, 60, 20]",0.01,0.3,0,118,0.667,0.6464,0.5683
[40],0.01,0.3,0,237,0.6637,0.6465,0.5644
"[40, 40]",0.01,0.3,0,194,0.6653,0.6469,0.5683
"[60, 40]",0.01,0.3,0,184,0.6724,0.6569,0.5723
"[120, 60, 40]",0.01,0.3,0,119,0.6724,0.6547,0.5725
[20],0.01,0.4,0,266,0.6895,0.6732,0.5889
"[30, 20]",0.01,0.4,0,256,0.6691,0.6471,0.5684
"[60, 20]",0.01,0.4,0,230,0.6671,0.6503,0.567
"[60, 60, 20]",0.01,0.4,0,191,0.6706,0.6511,0.5717
"[120, 60, 20]",0.01,0.4,0,161,0.6706,0.6538,0.5711
[40],0.01,0.4,0,93,0.6571,0.6484,0.5688
"[40, 40]",0.01,0.4,0,213,0.6774,0.6606,0.577
"[60, 40]",0.01,0.4,0,152,0.6793,0.6585,0.5809
"[120, 60, 40]",0.01,0.4,0,132,0.6705,0.6513,0.5696
[20],0.01,0.5,0,134,0.6863,0.6818,0.5845
"[30, 20]",0.01,0.5,0,314,0.6756,0.6556,0.5754
"[60, 20]",0.01,0.5,0,236,0.6653,0.6482,0.5661
"[60, 60, 20]",0.01,0.5,0,242,0.6723,0.6568,0.5725
"[120, 60, 20]",0.01,0.5,0,160,0.6773,0.6549,0.5785
[40],0.01,0.5,0,130,0.6742,0.665,0.5827
"[40, 40]",0.01,0.5,0,237,0.6742,0.6563,0.5733
"[60, 40]",0.01,0.5,0,213,0.6758,0.6585,0.5761
"[120, 60, 40]",0.01,0.5,0,170,0.681,0.6661,0.5832
[20],0.01,0.6,0,311,0.6641,0.6471,0.5647
"[30, 20]",0.01,0.6,0,485,0.6655,0.6524,0.569
"[60, 20]",0.01,0.6,0,113,0.6707,0.6609,0.5745
"[60, 60, 20]",0.01,0.6,0,338,0.6705,0.6563,0.5697
"[120, 60, 20]",0.01,0.6,0,217,0.6672,0.6423,0.5709
[40],0.01,0.6,0,147,0.6672,0.6566,0.5676
"[40, 40]",0.01,0.6,0,237,0.6652,0.6421,0.5664
"[60, 40]",0.01,0.6,0,216,0.6776,0.6577,0.5754
"[120, 60, 40]",0.01,0.6,0,225,0.6741,0.6583,0.5737
[20],0.01,0.7,0,400,0.6688,0.6524,0.5675
"[30, 20]",0.01,0.7,0,438,0.6757,0.6518,0.5804
"[60, 20]",0.01,0.7,0,410,0.6758,0.6596,0.5762
"[60, 60, 20]",0.01,0.7,0,447,0.6671,0.6488,0.5671
"[120, 60, 20]",0.01,0.7,0,356,0.6808,0.6592,0.5818
[40],0.01,0.7,0,181,0.683,0.6676,0.5855
"[40, 40]",0.01,0.7,0,373,0.669,0.6531,0.5732
"[60, 40]",0.01,0.7,0,410,0.6758,0.6624,0.5781
"[120, 60, 40]",0.01,0.7,0,328,0.6772,0.6584,0.5785
[20],0.01,0.8,0,346,0.6675,0.6524,0.5727
"[30, 20]",0.01,0.8,0,930,0.6691,0.6504,0.5696
"[60, 20]",0.01,0.8,0,701,0.6775,0.659,0.5789
"[60, 60, 20]",0.01,0.8,0,958,0.6412,0.6088,0.5463
"[120, 60, 20]",0.01,0.8,0,993,0.6724,0.6575,0.5728
[40],0.01,0.8,0,235,0.6741,0.6598,0.5735
"[40, 40]",0.01,0.8,0,615,0.6689,0.6455,0.5717
"[60, 40]",0.01,0.8,0,784,0.6759,0.6636,0.5763
"[120, 60, 40]",0.01,0.8,0,880,0.6743,0.6568,0.5787
[20],0.01,0.9,0,708,0.6979,0.6776,0.5991
"[30, 20]",0.01,0.9,0,321,0.5868,0.5653,0.5051
"[60, 20]",0.01,0.9,0,330,0.6321,0.6149,0.5415
"[60, 60, 20]",0.01,0.9,0,334,0.5942,0.5736,0.5079
"[120, 60, 20]",0.01,0.9,0,327,0.5596,0.5662,0.4953
[40],0.01,0.9,0,645,0.6725,0.6588,0.5744
"[40, 40]",0.01,0.9,0,213,0.617,0.6164,0.5303
"[60, 40]",0.01,0.9,0,260,0.6125,0.597,0.5313
"[120, 60, 40]",0.01,0.9,0,262,0.5267,0.5308,0.4735
[20],0.1,0.0,0,125,0.6438,0.6408,0.5525
"[30, 20]",0.1,0.0,0,242,0.6605,0.6394,0.5593
"[60, 20]",0.1,0.0,0,180,0.6554,0.6388,0.5533
"[60, 60, 20]",0.1,0.0,0,93,0.676,0.6552,0.5786
"[120, 60, 20]",0.1,0.0,0,50,0.6583,0.6409,0.5717
[40],0.1,0.0,0,167,0.6586,0.6415,0.5599
"[40, 40]",0.1,0.0,0,89,0.6809,0.6572,0.5831
"[60, 40]",0.1,0.0,0,105,0.6638,0.6388,0.5654
"[120, 60, 40]",0.1,0.0,0,98,0.6706,0.652,0.5701
[20],0.1,0.1,0,527,0.6621,0.6479,0.5593
"[30, 20]",0.1,0.1,0,305,0.667,0.6513,0.566
"[60, 20]",0.1,0.1,0,109,0.6623,0.6439,0.5637
"[60, 60, 20]",0.1,0.1,0,155,0.6568,0.637,0.5566
"[120, 60, 20]",0.1,0.1,0,60,0.6743,0.6643,0.576
[40],0.1,0.1,0,144,0.6674,0.6542,0.5665
"[40, 40]",0.1,0.1,0,132,0.6535,0.6267,0.5569
"[60, 40]",0.1,0.1,0,103,0.6587,0.6352,0.5628
"[120, 60, 40]",0.1,0.1,0,100,0.6791,0.6611,0.5787
[20],0.1,0.2,0,148,0.6689,0.6638,0.5727
"[30, 20]",0.1,0.2,0,195,0.6653,0.6447,0.5648
"[60, 20]",0.1,0.2,0,153,0.6739,0.6544,0.5726
"[60, 60, 20]",0.1,0.2,0,133,0.6725,0.65,0.5732
"[120, 60, 20]",0.1,0.2,0,111,0.6619,0.6394,0.5622
[40],0.1,0.2,0,204,0.6622,0.6448,0.5619
"[40, 40]",0.1,0.2,0,169,0.6689,0.649,0.5683
"[60, 40]",0.1,0.2,0,102,0.6586,0.6337,0.5665
"[120, 60, 40]",0.1,0.2,0,107,0.6724,0.6541,0.5711
[20],0.1,0.3,0,294,0.6674,0.6513,0.5649
"[30, 20]",0.1,0.3,0,199,0.6739,0.6494,0.5746
"[60, 20]",0.1,0.3,0,152,0.679,0.6547,0.5811
"[60, 60, 20]",0.1,0.3,0,141,0.6571,0.6319,0.5623
"[120, 60, 20]",0.1,0.3,0,150,0.6654,0.648,0.5664
[40],0.1,0.3,0,279,0.6605,0.6439,0.5572
"[40, 40]",0.1,0.3,0,172,0.681,0.659,0.5811
"[60, 40]",0.1,0.3,0,163,0.6741,0.6552,0.5722
"[120, 60, 40]",0.1,0.3,0,122,0.6757,0.6588,0.5759
[20],0.1,0.4,0,140,0.6675,0.6587,0.5707
"[30, 20]",0.1,0.4,0,327,0.6705,0.6559,0.5682
"[60, 20]",0.1,0.4,0,86,0.6793,0.6594,0.5831
"[60, 60, 20]",0.1,0.4,0,201,0.6722,0.6539,0.572
"[120, 60, 20]",0.1,0.4,0,146,0.6859,0.6638,0.5864
[40],0.1,0.4,0,244,0.6672,0.6511,0.568
"[40, 40]",0.1,0.4,0,203,0.6741,0.6545,0.5752
"[60, 40]",0.1,0.4,0,183,0.6741,0.6545,0.5725
"[120, 60, 40]",0.1,0.4,0,121,0.6705,0.6505,0.571
[20],0.1,0.5,0,325,0.6705,0.6551,0.5693
"[30, 20]",0.1,0.5,0,291,0.6774,0.6564,0.5769
"[60, 20]",0.1,0.5,0,227,0.6705,0.6491,0.5707
"[60, 60, 20]",0.1,0.5,0,274,0.6722,0.6584,0.5725
"[120, 60, 20]",0.1,0.5,0,169,0.6774,0.6546,0.5784
[40],0.1,0.5,0,172,0.6776,0.6622,0.578
"[40, 40]",0.1,0.5,0,254,0.6705,0.6555,0.5709
"[60, 40]",0.1,0.5,0,149,0.6776,0.6521,0.5843
"[120, 60, 40]",0.1,0.5,0,142,0.6706,0.6478,0.5709
[20],0.1,0.6,0,189,0.6743,0.6635,0.5773
"[30, 20]",0.1,0.6,0,386,0.6775,0.6611,0.5776
"[60, 20]",0.1,0.6,0,305,0.6741,0.6562,0.5749
"[60, 60, 20]",0.1,0.6,0,318,0.6774,0.6613,0.5763
"[120, 60, 20]",0.1,0.6,0,242,0.6688,0.6525,0.5704
[40],0.1,0.6,0,204,0.6743,0.6618,0.5747
"[40, 40]",0.1,0.6,0,246,0.6844,0.6614,0.5859
"[60, 40]",0.1,0.6,0,237,0.6724,0.6554,0.5723
"[120, 60, 40]",0.1,0.6,0,240,0.6673,0.6537,0.5696
[20],0.1,0.7,0,168,0.6726,0.6642,0.5708
"[30, 20]",0.1,0.7,0,710,0.6741,0.662,0.573
"[60, 20]",0.1,0.7,0,390,0.6706,0.6528,0.571
"[60, 60, 20]",0.1,0.7,0,553,0.6707,0.6593,0.5718
"[120, 60, 20]",0.1,0.7,0,370,0.6738,0.6531,0.5727
[40],0.1,0.7,0,245,0.6742,0.6614,0.5747
"[40, 40]",0.1,0.7,0,337,0.6879,0.6667,0.5888
"[60, 40]",0.1,0.7,0,284,0.6723,0.6511,0.5735
"[120, 60, 40]",0.1,0.7,0,317,0.6655,0.642,0.5697
[20],0.1,0.8,0,453,0.6671,0.6482,0.5686
"[30, 20]",0.1,0.8,0,987,0.6552,0.6381,0.5559
"[60, 20]",0.1,0.8,0,696,0.6758,0.6592,0.5764
"[60, 60, 20]",0.1,0.8,0,997,0.6534,0.6227,0.5597
"[120, 60, 20]",0.1,0.8,0,969,0.6517,0.6315,0.5532
[40],0.1,0.8,0,306,0.6606,0.6458,0.5636
"[40, 40]",0.1,0.8,0,617,0.6775,0.6583,0.5766
"[60, 40]",0.1,0.8,0,701,0.6791,0.665,0.5808
"[120, 60, 40]",0.1,0.8,0,915,0.6655,0.6502,0.5656
[20],0.1,0.9,0,917,0.6725,0.6472,0.5752
"[30, 20]",0.1,0.9,0,329,0.5772,0.5612,0.4912
"[60, 20]",0.1,0.9,0,345,0.6157,0.589,0.5208
"[60, 60, 20]",0.1,0.9,0,316,0.5583,0.5508,0.4824
"[120, 60, 20]",0.1,0.9,0,342,0.5649,0.5536,0.4879
[40],0.1,0.9,0,624,0.6706,0.6551,0.5714
"[40, 40]",0.1,0.9,0,233,0.6016,0.6003,0.5217
"[60, 40]",0.1,0.9,0,206,0.5868,0.5943,0.5178
"[120, 60, 40]",0.1,0.9,0,237,0.5374,0.549,0.4784
[20],1.0,0.0,0,225,0.6603,0.6422,0.561
"[30, 20]",1.0,0.0,0,276,0.6637,0.6461,0.5602
"[60, 20]",1.0,0.0,0,123,0.6759,0.6565,0.5752
"[60, 60, 20]",1.0,0.0,0,57,0.6501,0.6342,0.5547
"[120, 60, 20]",1.0,0.0,0,57,0.6642,0.6563,0.5671
[40],1.0,0.0,0,221,0.6674,0.6495,0.5646
"[40, 40]",1.0,0.0,0,153,0.6759,0.6568,0.5738
"[60, 40]",1.0,0.0,0,88,0.669,0.6468,0.569
"[120, 60, 40]",1.0,0.0,0,82,0.6552,0.6374,0.5545
[20],1.0,0.1,0,137,0.6567,0.648,0.5581
"[30, 20]",1.0,0.1,0,113,0.6657,0.651,0.565
"[60, 20]",1.0,0.1,0,572,0.6436,0.634,0.5425
"[60, 60, 20]",1.0,0.1,0,131,0.6639,0.641,0.5634
"[120, 60, 20]",1.0,0.1,0,55,0.6586,0.6484,0.5658
[40],1.0,0.1,0,350,0.6586,0.645,0.5564
"[40, 40]",1.0,0.1,0,191,0.6587,0.6424,0.5583
"[60, 40]",1.0,0.1,0,138,0.6571,0.6369,0.5565
"[120, 60, 40]",1.0,0.1,0,114,0.6637,0.6472,0.5637
[20],1.0,0.2,0,136,0.6653,0.6596,0.5663
"[30, 20]",1.0,0.2,0,121,0.669,0.6526,0.5715
"[60, 20]",1.0,0.2,0,108,0.6863,0.6671,0.5926
"[60, 60, 20]",1.0,0.2,0,164,0.6654,0.6473,0.5651
"[120, 60, 20]",1.0,0.2,0,54,0.6656,0.6476,0.5647
[40],1.0,0.2,0,226,0.6588,0.6424,0.5572
"[40, 40]",1.0,0.2,0,59,0.6516,0.64,0.5623
"[60, 40]",1.0,0.2,0,121,0.6657,0.6434,0.5684
"[120, 60, 40]",1.0,0.2,0,107,0.6791,0.6601,0.5789
[20],1.0,0.3,0,205,0.6743,0.6526,0.5763
"[30, 20]",1.0,0.3,0,227,0.6675,0.6441,0.5662
"[60, 20]",1.0,0.3,0,96,0.6708,0.6545,0.5761
"[60, 60, 20]",1.0,0.3,0,146,0.6755,0.655,0.5764
"[120, 60, 20]",1.0,0.3,0,52,0.6654,0.6476,0.5659
[40],1.0,0.3,0,235,0.669,0.6512,0.5662
"[40, 40]",1.0,0.3,0,261,0.6638,0.6505,0.5614
"[60, 40]",1.0,0.3,0,209,0.6741,0.6595,0.5744
