MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[120, 60, 40]",0.1,0.9,0,863,0.6221,0.7072,0.6031
[20],1.0,0.0,0,999,0.7377,0.7815,0.7191
"[30, 20]",1.0,0.0,0,995,0.7585,0.8014,0.7502
"[60, 20]",1.0,0.0,0,995,0.7533,0.8025,0.7509
"[60, 60, 20]",1.0,0.0,0,588,0.7585,0.8018,0.751
"[120, 60, 20]",1.0,0.0,0,552,0.7728,0.8038,0.7573
[40],1.0,0.0,0,1000,0.7507,0.7898,0.7323
"[40, 40]",1.0,0.0,0,990,0.7598,0.8067,0.7538
"[60, 40]",1.0,0.0,0,946,0.7663,0.8046,0.7533
"[120, 60, 40]",1.0,0.0,0,478,0.7546,0.8023,0.7524
[20],1.0,0.1,0,996,0.7377,0.7833,0.718
"[30, 20]",1.0,0.1,0,1000,0.7585,0.8018,0.7469
"[60, 20]",1.0,0.1,0,997,0.7676,0.8041,0.7518
"[60, 60, 20]",1.0,0.1,0,836,0.774,0.8041,0.7559
"[120, 60, 20]",1.0,0.1,0,520,0.7675,0.8032,0.7541
[40],1.0,0.1,0,999,0.752,0.7908,0.7341
"[40, 40]",1.0,0.1,0,990,0.7676,0.8036,0.755
"[60, 40]",1.0,0.1,0,896,0.7675,0.8041,0.755
"[120, 60, 40]",1.0,0.1,0,422,0.7611,0.8017,0.7517
[20],1.0,0.2,0,996,0.7481,0.7855,0.7224
"[30, 20]",1.0,0.2,0,997,0.7572,0.8004,0.7457
"[60, 20]",1.0,0.2,0,996,0.765,0.8023,0.7493
"[60, 60, 20]",1.0,0.2,0,844,0.7701,0.8035,0.7566
"[120, 60, 20]",1.0,0.2,0,561,0.7714,0.8012,0.7546
[40],1.0,0.2,0,994,0.7559,0.793,0.7352
"[40, 40]",1.0,0.2,0,964,0.7663,0.8051,0.7583
"[60, 40]",1.0,0.2,0,1000,0.7741,0.8032,0.7538
"[120, 60, 40]",1.0,0.2,0,738,0.7714,0.7975,0.7551
[20],1.0,0.3,0,1000,0.7403,0.7845,0.7234
"[30, 20]",1.0,0.3,0,976,0.765,0.8015,0.7482
"[60, 20]",1.0,0.3,0,979,0.7676,0.804,0.7556
"[60, 60, 20]",1.0,0.3,0,970,0.7741,0.8022,0.7556
"[120, 60, 20]",1.0,0.3,0,801,0.7754,0.8062,0.7601
[40],1.0,0.3,0,990,0.7624,0.7933,0.7368
"[40, 40]",1.0,0.3,0,996,0.7637,0.8016,0.7509
