MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 20]",0.01,0.2,1,epoch_1,0.7639,0.1276,0.8616,0.1125,0.8269,0.1527,2,0.7674,0.8428,0.7579,1.7331
"[120, 60, 40]",0.01,0.2,1,epoch_3,0.778,0.1298,0.8689,0.1174,0.8319,0.1591,0,0.7233,0.8508,0.7768,11.711
"[30, 20]",0.01,0.2,3,epoch_1,0.7309,0.1288,0.8558,0.1212,0.8224,0.1645,3,0.7442,0.8385,0.7752,3.7006
"[60, 60]",0.01,0.2,3,epoch_2,0.7404,0.1345,0.8595,0.1153,0.82,0.1631,2,0.7395,0.8452,0.7774,1.4901
"[60, 60, 40]",0.01,0.2,3,epoch_1,0.6916,0.1152,0.8591,0.1153,0.8222,0.1599,2,0.7465,0.8405,0.7699,1.6082
"[120, 60, 20]",0.01,0.2,3,epoch_1,0.7566,0.121,0.8678,0.1067,0.8315,0.1477,2,0.7558,0.8464,0.7769,1.8498
"[120, 60, 40]",0.01,0.2,3,epoch_0,0.7008,0.1155,0.8708,0.1062,0.8325,0.1514,0,0.7,0.8579,0.7868,12.137
"[30, 20]",0.01,0.4,1,epoch_8,0.7852,0.1499,0.8625,0.1288,0.8257,0.1723,5,0.7465,0.8319,0.7369,2.0233
"[60, 60]",0.01,0.4,1,epoch_4,0.7873,0.1343,0.8646,0.1266,0.8234,0.1778,3,0.7721,0.8442,0.7597,1.2012
"[60, 60, 40]",0.01,0.4,1,epoch_4,0.7944,0.14,0.8743,0.1241,0.8348,0.1761,7,0.7744,0.8407,0.7428,0.9091
"[120, 60, 20]",0.01,0.4,1,epoch_1,0.7589,0.1342,0.8654,0.1145,0.8344,0.153,2,0.7651,0.8509,0.7837,2.1652
"[120, 60, 40]",0.01,0.4,1,epoch_1,0.7541,0.146,0.8628,0.117,0.8306,0.1576,2,0.7791,0.854,0.7921,1.3396
"[30, 20]",0.01,0.4,3,epoch_3,0.7495,0.1349,0.8625,0.1181,0.831,0.1613,3,0.7488,0.8476,0.7815,4.6558
"[60, 60]",0.01,0.4,3,epoch_3,0.7944,0.1421,0.8656,0.1186,0.8261,0.1672,1,0.7279,0.8556,0.7876,3.7203
"[60, 60, 40]",0.01,0.4,3,epoch_4,0.783,0.1435,0.8713,0.1218,0.8311,0.1713,2,0.7558,0.8496,0.7808,2.181
"[120, 60, 20]",0.01,0.4,3,epoch_1,0.7495,0.1247,0.8708,0.1079,0.8358,0.1492,1,0.7488,0.8578,0.7976,7.0507
"[120, 60, 40]",0.01,0.4,3,epoch_1,0.7588,0.1158,0.8691,0.1105,0.8329,0.1548,1,0.7581,0.8581,0.7884,3.2022
"[30, 20]",0.01,0.6,1,epoch_10,0.7804,0.1424,0.8654,0.13,0.8249,0.1794,5,0.7488,0.8512,0.8124,3.4828
"[60, 60]",0.01,0.6,1,epoch_4,0.8036,0.1394,0.8711,0.1223,0.8328,0.1749,2,0.7628,0.8448,0.763,2.8699
"[60, 60, 40]",0.01,0.6,1,epoch_2,0.665,0.1089,0.8726,0.1168,0.835,0.1627,2,0.6651,0.8445,0.7379,6.8424
"[120, 60, 20]",0.01,0.6,1,epoch_4,0.7918,0.143,0.8771,0.1126,0.8396,0.1547,3,0.7744,0.8613,0.8265,2.413
"[120, 60, 40]",0.01,0.6,1,epoch_4,0.7991,0.1415,0.8769,0.1159,0.8364,0.1622,0,0.6302,0.838,0.7584,31.438
"[30, 20]",0.01,0.6,3,epoch_6,0.792,0.149,0.8705,0.1191,0.8315,0.1706,1,0.6558,0.856,0.8005,35.1687
"[60, 60]",0.01,0.6,3,epoch_4,0.7967,0.1358,0.8764,0.1126,0.8331,0.164,1,0.6698,0.8617,0.7937,6.3402
"[60, 60, 40]",0.01,0.6,3,epoch_4,0.797,0.1454,0.8771,0.1135,0.8356,0.1659,2,0.6372,0.8558,0.7895,6.4601
"[120, 60, 20]",0.01,0.6,3,epoch_2,0.7264,0.1366,0.8762,0.1044,0.8381,0.1486,1,0.6488,0.8695,0.8143,17.4097
"[120, 60, 40]",0.01,0.6,3,epoch_2,0.7797,0.1318,0.8775,0.1081,0.843,0.1489,1,0.6442,0.864,0.7832,7.9611
"[30, 20]",0.1,0,1,epoch_2,0.7583,0.1714,0.8573,0.1299,0.8201,0.1712,0,0.5814,0.7742,0.685,2.0154
"[60, 60]",0.1,0,1,epoch_2,0.7503,0.1353,0.8181,0.1499,0.7881,0.1829,1,0.5907,0.7565,0.7078,0.9434
"[60, 60, 40]",0.1,0,1,epoch_0,0.6422,0.0922,0.8273,0.1228,0.7581,0.1758,29,0.7163,0.7839,0.7413,0.623
"[120, 60, 20]",0.1,0,1,epoch_0,0.5951,0.0669,0.7434,0.1721,0.7206,0.1847,8,0.686,0.7384,0.6297,0.5638
"[120, 60, 40]",0.1,0,1,epoch_28,0.6718,0.1287,0.6354,0.167,0.585,0.1855,29,0.6767,0.7053,0.664,0.7542
"[30, 20]",0.1,0,3,epoch_1,0.7596,0.157,0.8511,0.1262,0.8099,0.1702,0,0.6302,0.8132,0.7076,1.6083
"[60, 60]",0.1,0,3,epoch_2,0.7639,0.1252,0.817,0.1514,0.7933,0.1826,1,0.6698,0.78,0.7563,1.2519
"[60, 60, 40]",0.1,0,3,epoch_4,0.6495,0.1197,0.8287,0.1444,0.7847,0.1818,3,0.6186,0.7859,0.7273,1.6496
"[120, 60, 20]",0.1,0,3,epoch_9,0.7222,0.1476,0.8118,0.16,0.782,0.1873,1,0.5953,0.7354,0.6954,1.469
"[120, 60, 40]",0.1,0,3,epoch_96,0.743,0.125,0.8244,0.1449,0.788,0.1889,132,0.7256,0.7827,0.7431,0.6844
"[30, 20]",0.1,0.2,1,epoch_0,0.597,0.0632,0.8464,0.1282,0.8272,0.1523,3,0.7605,0.8206,0.73,0.8586
"[60, 60]",0.1,0.2,1,epoch_2,0.7343,0.1617,0.8316,0.1495,0.8043,0.1801,1,0.693,0.7783,0.7325,1.0289
"[60, 60, 40]",0.1,0.2,1,epoch_4,0.6521,0.096,0.8039,0.1477,0.7721,0.1663,795,0.707,0.7524,0.6989,0.7393
"[120, 60, 20]",0.1,0.2,1,epoch_1,0.5535,0.1031,0.8104,0.1252,0.7561,0.1732,2,0.5837,0.7107,0.6481,0.6312
