MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[30, 20]",0.1,0.5,0,922,0.774,0.74,0.6079
"[60, 20]",0.1,0.5,0,828,0.7702,0.7342,0.6031
"[60, 60, 20]",0.1,0.5,0,966,0.7728,0.7398,0.6058
"[120, 60, 20]",0.1,0.5,0,854,0.7754,0.7439,0.6113
[40],0.1,0.5,0,970,0.7624,0.7273,0.5924
"[40, 40]",0.1,0.5,0,833,0.7741,0.7408,0.6083
"[60, 40]",0.1,0.5,0,670,0.7701,0.7369,0.6014
"[120, 60, 40]",0.1,0.5,0,793,0.7728,0.7445,0.6068
[20],0.1,0.6,0,942,0.7468,0.7088,0.5691
"[30, 20]",0.1,0.6,0,998,0.7611,0.727,0.5885
"[60, 20]",0.1,0.6,0,988,0.7754,0.7397,0.6098
"[60, 60, 20]",0.1,0.6,0,828,0.7715,0.7401,0.6055
"[120, 60, 20]",0.1,0.6,0,608,0.7728,0.7404,0.6069
[40],0.1,0.6,0,994,0.7649,0.7295,0.5949
"[40, 40]",0.1,0.6,0,958,0.7689,0.7346,0.6006
"[60, 40]",0.1,0.6,0,913,0.7714,0.7373,0.6035
"[120, 60, 40]",0.1,0.6,0,631,0.7766,0.7449,0.6126
[20],0.1,0.7,0,992,0.7442,0.7019,0.5643
"[30, 20]",0.1,0.7,0,925,0.7494,0.7109,0.5706
"[60, 20]",0.1,0.7,0,846,0.7624,0.724,0.5895
"[60, 60, 20]",0.1,0.7,0,968,0.7636,0.7325,0.5931
"[120, 60, 20]",0.1,0.7,0,973,0.7728,0.7411,0.6064
[40],0.1,0.7,0,997,0.7545,0.7177,0.5787
"[40, 40]",0.1,0.7,0,1000,0.765,0.7301,0.5926
"[60, 40]",0.1,0.7,0,954,0.7689,0.732,0.6011
"[120, 60, 40]",0.1,0.7,0,810,0.774,0.7462,0.6078
[20],0.1,0.8,0,741,0.7272,0.6646,0.5385
"[30, 20]",0.1,0.8,0,998,0.7208,0.6581,0.5295
"[60, 20]",0.1,0.8,0,893,0.7377,0.6865,0.5563
"[60, 60, 20]",0.1,0.8,0,999,0.6947,0.6168,0.4923
"[120, 60, 20]",0.1,0.8,0,997,0.7298,0.6864,0.5485
[40],0.1,0.8,0,993,0.7468,0.7087,0.5681
"[40, 40]",0.1,0.8,0,953,0.7389,0.6963,0.5578
"[60, 40]",0.1,0.8,0,958,0.7429,0.7014,0.5624
"[120, 60, 40]",0.1,0.8,0,969,0.7416,0.7119,0.5641
[20],0.1,0.9,0,204,0.6868,0.6276,0.4969
"[30, 20]",0.1,0.9,0,130,0.5753,0.5746,0.4277
"[60, 20]",0.1,0.9,0,141,0.5185,0.5512,0.4101
"[60, 60, 20]",0.1,0.9,0,133,0.5534,0.5291,0.4087
"[120, 60, 20]",0.1,0.9,0,138,0.5624,0.5702,0.4295
[40],0.1,0.9,0,962,0.7129,0.6451,0.5208
"[40, 40]",0.1,0.9,0,89,0.4885,0.5437,0.4067
"[60, 40]",0.1,0.9,0,111,0.6325,0.5686,0.4345
"[120, 60, 40]",0.1,0.9,0,99,0.5315,0.5233,0.3947
[20],1.0,0.0,0,984,0.7416,0.7045,0.5622
"[30, 20]",1.0,0.0,0,921,0.7676,0.7363,0.5978
"[60, 20]",1.0,0.0,0,883,0.7611,0.7284,0.5904
"[60, 60, 20]",1.0,0.0,0,954,0.7675,0.7408,0.5997
"[120, 60, 20]",1.0,0.0,0,666,0.7728,0.7464,0.6052
[40],1.0,0.0,0,978,0.7559,0.7208,0.582
"[40, 40]",1.0,0.0,0,739,0.7611,0.7284,0.5899
"[60, 40]",1.0,0.0,0,874,0.7727,0.7411,0.6052
"[120, 60, 40]",1.0,0.0,0,387,0.7766,0.7462,0.6139
[20],1.0,0.1,0,999,0.7442,0.7066,0.5642
"[30, 20]",1.0,0.1,0,935,0.7611,0.727,0.5894
"[60, 20]",1.0,0.1,0,756,0.7663,0.7339,0.5991
"[60, 60, 20]",1.0,0.1,0,758,0.7741,0.7449,0.6099
"[120, 60, 20]",1.0,0.1,0,397,0.7662,0.7345,0.5986
[40],1.0,0.1,0,977,0.7533,0.718,0.5788
"[40, 40]",1.0,0.1,0,937,0.7728,0.7405,0.6082
"[60, 40]",1.0,0.1,0,859,0.7715,0.7401,0.6048
"[120, 60, 40]",1.0,0.1,0,278,0.7689,0.7373,0.5985
[20],1.0,0.2,0,991,0.7455,0.7091,0.568
"[30, 20]",1.0,0.2,0,1000,0.7662,0.7339,0.5981
"[60, 20]",1.0,0.2,0,777,0.7637,0.7325,0.593
"[60, 60, 20]",1.0,0.2,0,910,0.7766,0.7463,0.6116
"[120, 60, 20]",1.0,0.2,0,434,0.7702,0.737,0.6044
[40],1.0,0.2,0,930,0.7572,0.7218,0.5837
"[40, 40]",1.0,0.2,0,691,0.7689,0.7346,0.6011
"[60, 40]",1.0,0.2,0,997,0.7689,0.7373,0.6016
"[120, 60, 40]",1.0,0.2,0,389,0.7766,0.7429,0.6115
[20],1.0,0.3,0,991,0.7455,0.7097,0.5665
"[30, 20]",1.0,0.3,0,900,0.7636,0.729,0.5931
"[60, 20]",1.0,0.3,0,854,0.7689,0.7353,0.5995
"[60, 60, 20]",1.0,0.3,0,978,0.7741,0.7435,0.6079
"[120, 60, 20]",1.0,0.3,0,450,0.7767,0.7463,0.6131
[40],1.0,0.3,0,991,0.7637,0.7284,0.5941
"[40, 40]",1.0,0.3,0,966,0.7689,0.7339,0.6014
"[60, 40]",1.0,0.3,0,699,0.7715,0.7386,0.6053
